"filename", "language", "Java", "comment", "blank", "total"
"d:\Java Script\Noita Simulator(Java Edition)\UIToolBox\Button.java", "Java", 14, 0, 4, 18
"d:\Java Script\Noita Simulator(Java Edition)\main\Gamepanel.java", "Java", -26, -1, -1, -28
"d:\Java Script\Noita Simulator(Java Edition)\main\KeyHandler.java", "Java", 12, 0, 3, 15
"d:\Java Script\Noita Simulator(Java Edition)\main\MouseHandler.java", "Java", 38, 1, 10, 49
"d:\Java Script\Noita Simulator(Java Edition)\particles\Acid.java", "Java", 1, 0, 1, 2
"d:\Java Script\Noita Simulator(Java Edition)\particles\Sand.java", "Java", 1, 0, 1, 2
"d:\Java Script\Noita Simulator(Java Edition)\particles\Water.java", "Java", 1, 0, 1, 2
"Total", "-", 41, 0, 19, 60
