"filename", "language", "Java", "comment", "blank", "total"
"d:\Java Script\Noita Simulator(Java Edition)\main\Gamepanel.java", "Java", 164, 10, 15, 189
"d:\Java Script\Noita Simulator(Java Edition)\main\KeyHandler.java", "Java", 47, 2, 6, 55
"d:\Java Script\Noita Simulator(Java Edition)\main\Main.java", "Java", 8, 0, 2, 10
"d:\Java Script\Noita Simulator(Java Edition)\main\Timer.java", "Java", 18, 0, 1, 19
"d:\Java Script\Noita Simulator(Java Edition)\main\UI.java", "Java", 59, 1, 8, 68
"d:\Java Script\Noita Simulator(Java Edition)\main\Window.java", "Java", 17, 1, 1, 19
"d:\Java Script\Noita Simulator(Java Edition)\particles\Acid.java", "Java", 53, 1, 5, 59
"d:\Java Script\Noita Simulator(Java Edition)\particles\Particle.java", "Java", 137, 1, 7, 145
"d:\Java Script\Noita Simulator(Java Edition)\particles\Sand.java", "Java", 46, 0, 6, 52
"d:\Java Script\Noita Simulator(Java Edition)\particles\Stone.java", "Java", 13, 0, 5, 18
"d:\Java Script\Noita Simulator(Java Edition)\particles\Water.java", "Java", 33, 1, 6, 40
"d:\Java Script\Noita Simulator(Java Edition)\particles\Wood.java", "Java", 12, 0, 6, 18
"d:\Java Script\Noita Simulator(Java Edition)\statemachine\State.java", "Java", 17, 0, 6, 23
"d:\Java Script\Noita Simulator(Java Edition)\statemachine\Statemachine.java", "Java", 10, 0, 3, 13
"Total", "-", 634, 17, 77, 728
